email,pid,eid,date,accepted
otoner1n@amazonaws.com,22,7219514697,22/03/2022,TRUE
smcdouglet@goo.gl,51,6221919843,24/12/2021,FALSE
brelph0@clickbank.net,5,1488748772,7/8/2022,FALSE
cvasyaginm@creativecommons.org,36,8510591172,29/11/2021,FALSE
cvasyaginm@creativecommons.org,7,1659372712,5/10/2022,TRUE
cvasyaginm@creativecommons.org,36,6712873487,9/1/2022,TRUE
ddegowe2r@wiley.com,41,1853953881,3/2/2022,FALSE
hbatecok1k@reference.com,62,6134612561,24/12/2021,TRUE
cvasyaginm@creativecommons.org,7,9010793605,21/10/2022,FALSE
cvasyaginm@creativecommons.org,7,5631728745,8/7/2022,TRUE
kbenoit10@deviantart.com,69,3631608624,26/12/2021,TRUE
ihastelow1m@nhs.uk,41,2741302219,12/12/2021,TRUE
hbatecok1k@reference.com,62,3378806486,2/7/2022,FALSE
brelph0@clickbank.net,5,5631728745,11/6/2022,FALSE
kbenoit10@deviantart.com,36,6285195196,9/2/2022,TRUE
