email,name,cc1,cc2
brelph0@clickbank.net,Barbi,3.58178E+15,6.76764E+17
jlaxtonne1@google.de,Jaquenetta,3.5387E+15,3.74284E+14
hsurgener2@delicious.com,Heall,3.57591E+15,4.13099E+15
pbahls3@youku.com,Pansy,3.54161E+15,4.90533E+17
afarryn4@ihg.com,Annetta,4.01796E+12,3.74284E+14
abigglestone5@apache.org,Alida,3.57256E+15,3.53964E+15
mbaldoni6@oracle.com,Margarete,2.01703E+14,NULL
ovannuchi7@sphinn.com,Olivero,6.75909E+17,NULL
hgirhard8@pinterest.com,Harrison,3.53305E+15,NULL
dbarratt9@telegraph.co.uk,Doralynn,3.57111E+15,6.3311E+18
ltrimmilla@comsenz.com,Llewellyn,3.55141E+15,4.41044E+15
wavrahamovb@goodreads.com,Werner,3.53005E+15,NULL
cgowlettc@purevolume.com,Cornell,6.76745E+17,3.56743E+15
lsauvend@ox.ac.uk,Lorelle,5.60224E+15,6.75973E+15
arealffe@meetup.com,Ashlin,3.54403E+15,NULL
oventrisf@marriott.com,Oliviero,3.52969E+15,6.37227E+15
icallingtong@sciencedirect.com,Ingamar,5.60223E+17,5.60224E+17
lewdaleh@hugedomains.com,Livvyy,5.10015E+15,5.46803E+15
jsafelli@infoseek.co.jp,Jojo,5.60221E+17,5.52838E+15
aseaversj@stanford.edu,Amory,4.84428E+15,NULL
dburndredk@sun.com,Davidde,2.01532E+14,3.52812E+15
jkinzettl@mozilla.org,Janenna,3.57416E+15,NULL
cvasyaginm@creativecommons.org,Camile,3.57209E+15,5.60222E+15
cbaudetn@google.com.br,Chicky,3.56129E+15,4.40589E+15
wyakuntzovo@is.gd,Wini,3.57894E+15,5.10017E+15
cnavanp@sogou.com,Cary,3.74288E+14,NULL
sjillittq@wufoo.com,Spencer,5.33E+15,3.53601E+15
lordemannr@youtube.com,Lionello,3.55609E+15,3.54438E+15
cskelhorns@bigcartel.com,Corabelle,5.10875E+15,5.55216E+15
smcdouglet@goo.gl,Sal,3.05703E+13,3.75863E+14
mdarganu@clickbank.net,Maurise,2.01763E+14,NULL
odrohunv@ebay.com,Olav,6.70905E+18,5.60224E+15
pbillsberryw@ameblo.jp,Perl,3.55921E+15,3.54631E+15
acorhardx@rambler.ru,Ardis,5.04838E+15,3.52982E+15
lshutery@vistaprint.com,Lilian,3.57633E+15,NULL
ahellardz@slideshare.net,Allene,6.30462E+17,3.69617E+13
kbenoit10@deviantart.com,Kev,3.58744E+15,3.58434E+15
mpattlel11@thetimes.co.uk,Manuel,5.55983E+15,3.55752E+15
ckornyshev12@weibo.com,Chrysa,3.54151E+15,NULL
mhagan13@4shared.com,Mariejeanne,6.75918E+17,3.52829E+15
htuison14@behance.net,Humbert,5.61018E+15,4.93667E+18
fwathell15@diigo.com,Fransisco,4.93675E+17,6.70611E+16
alevet16@ask.com,Ashlie,3.55948E+15,5.00767E+15
agianettini17@hao123.com,Adrianna,3.58258E+15,3.58326E+15
bcyster18@tmall.com,Barde,3.57425E+15,3.58488E+15
hjansey19@whitehouse.gov,Humfried,3.58768E+15,5.60224E+17
rburland1a@exblog.jp,Rabi,4.34655E+12,5.42314E+15
skorn1b@craigslist.org,Sascha,5.61027E+15,4.17501E+15
cogrady1c@hubpages.com,Cleopatra,5.60223E+15,3.55649E+15
jreily1d@blogtalkradio.com,Jenine,5.60221E+15,6.33111E+17
kattock1e@home.pl,Kayle,3.53704E+15,3.58833E+15
oeccles1f@furl.net,Odelia,3.56388E+15,4.04159E+12
bcote1g@hubpages.com,Bree,5.03838E+16,2.01866E+14
yclacson1h@paypal.com,Yorgos,5.10014E+15,3.58752E+15
dvarnals1i@blog.com,Delly,5.54834E+15,3.53343E+15
anice1j@discovery.com,Antonio,3.57298E+15,5.01013E+15
hbatecok1k@reference.com,Hyacintha,3.54726E+15,3.58649E+15
ekochs1l@nih.gov,Else,3.74622E+14,3.63262E+13
ihastelow1m@nhs.uk,Ingram,6.70664E+15,NULL
otoner1n@amazonaws.com,Orsola,3.5732E+15,NULL
rdowse1o@yahoo.com,Rhody,6.76725E+15,3.53726E+15
agookey1p@disqus.com,Ara,5.60222E+18,3.56007E+15
adannehl1q@irs.gov,Amby,4.50889E+15,5.10014E+15
csimpkin1r@mysql.com,Cathleen,4.91358E+15,NULL
kgrowcock1s@godaddy.com,Kaitlynn,4.90354E+17,3.56796E+15
gbendtsen1t@homestead.com,Grover,3.5479E+15,NULL
mronchi1u@earthlink.net,Meryl,6.37459E+15,5.10017E+15
cjanecek1v@chron.com,Catherine,3.52934E+15,3.57468E+15
kjirzik1w@friendfeed.com,Katti,6.70685E+16,5.60226E+18
smacardle1x@digg.com,Shaylah,6.75935E+15,NULL
zruzek1y@hc360.com,Zaria,3.5645E+15,NULL
cfinley1z@newyorker.com,Corey,3.54149E+15,NULL
dsoutter20@huffingtonpost.com,Davie,3.53258E+15,2.01907E+14
jliversidge21@freewebs.com,Janella,5.60225E+15,4.01796E+15
dgillcrist22@rediff.com,Damian,5.03892E+18,3.55549E+15
kmackim23@auda.org.au,Kiah,6.70602E+15,3.55159E+15
cpitkins24@t.co,Claire,3.56366E+15,3.57745E+15
mgeddis25@w3.org,Murray,3.52912E+15,4.90588E+15
ephillps26@globo.com,Eddy,5.40994E+15,NULL
hacomb27@washingtonpost.com,Honor,4.175E+15,NULL
ecastaignet28@shutterfly.com,Emmaline,3.57244E+15,4.04137E+12
skelsey29@myspace.com,Starlin,5.22185E+15,NULL
bhenricsson2a@gmpg.org,Bunni,5.60225E+15,3.74622E+14
drawll2b@marketwatch.com,Dorene,2.01588E+14,3.53971E+15
ntrimmill2c@fastcompany.com,Nevile,4.50815E+15,3.5821E+15
acuppitt2d@sciencedirect.com,Alfie,4.84416E+15,3.5565E+15
fwanless2e@tiny.cc,Forrester,4.50823E+15,NULL
dmckennan2f@vinaora.com,Darryl,6.38891E+15,NULL
qpavlata2g@eventbrite.com,Quinn,5.60224E+18,NULL
rlambdean2h@pen.io,Robina,3.5438E+15,5.54161E+15
rmccollum2i@google.fr,Raphael,3.58697E+15,NULL
cpellissier2j@geocities.jp,Ciro,3.52858E+15,4.90374E+17
tballeine2k@usatoday.com,Trstram,6.3043E+18,2.01844E+14
rcarberry2l@skype.com,Raphael,5.60225E+18,3.53654E+15
jvokins2m@shareasale.com,Jaquelin,3.57045E+15,4.175E+15
kbausmann2n@bloomberg.com,Kary,4.3056E+12,3.55964E+15
dbrassill2o@lycos.com,Delmar,3.55938E+15,5.10014E+15
bfyndon2p@hugedomains.com,Brnaba,6.76707E+18,3.53659E+15
gdowning2q@squidoo.com,Guendolen,3.54509E+15,2.01585E+14
ddegowe2r@wiley.com,Douglas,3.53679E+15,3.53459E+15
